Mod:Item:MetaData, Localized Name
thaumicbases:genericSlab_full:2, Ancient Cobblestone Slab
thaumicbases:genericSlab_full:3, Ancient Mossy Cobblestone Slab
thaumicbases:genericSlab_full:4, Ancient Diamond Slab
thaumicbases:genericSlab_full:5, Ancient Gold Slab
thaumicbases:genericSlab_full:6, Ancient Iron Slab
thaumicbases:genericSlab_full:7, Ancient Lapis Lazuli Slab
thaumicbases:crystalSlab:0, Air Crystal Slab
thaumicbases:crystalSlab:1, Fire Crystal Slab
thaumicbases:crystalSlab:2, Water Crystal Slab
thaumicbases:crystalSlab:3, Earth Crystal Slab
thaumicbases:crystalSlab:4, Order Crystal Slab
thaumicbases:crystalSlab:5, Entropy Crystal Slab
thaumicbases:crystalSlab:6, Mixed Crystal Slab
thaumicbases:crystalSlab:7, Tainted Crystal Slab
thaumicbases:crystalSlab_full:0, Air Crystal Slab
thaumicbases:crystalSlab_full:1, Fire Crystal Slab
thaumicbases:crystalSlab_full:2, Water Crystal Slab
thaumicbases:crystalSlab_full:3, Earth Crystal Slab
thaumicbases:crystalSlab_full:4, Order Crystal Slab
thaumicbases:crystalSlab_full:5, Entropy Crystal Slab
thaumicbases:crystalSlab_full:6, Mixed Crystal Slab
thaumicbases:crystalSlab_full:7, Tainted Crystal Slab
thaumicbases:tobacco, Tobacco Crop
thaumicbases:spike:0, Iron Spikes
thaumicbases:spike:2, Thaumic Spikes
thaumicbases:spike:4, Void Spikes
thaumicbases:plax, Plax Crop
thaumicbases:aureliaPetal, Aurelia Petal
thaumicbases:aurelia, Aurelia
thaumicbases:metalleat, Metalleat Crop
thaumicbases:lucrite, Lucrite Crop
thaumicbases:knose, Rosa Mysteria
thaumicbases:sweed, Sweed Crop
thaumicbases:lazullia, Lazullia Crop
thaumicbases:rainbowCactus, Rainbow Cacti
thaumicbases:redlonStem, Redlon Stem
thaumicbases:ashroom, Primal Shroom
thaumicbases:flaxium, Fluxium
thaumicbases:glieonia, Glieonia Crop
thaumicbases:briar, Briar
thaumicbases:voidPlant, Void Crop
thaumicbases:goldenOakSapling:0, Golden Oak Sapling
thaumicbases:goldenOakSapling:1, Peaceful Sapling
thaumicbases:goldenOakSapling:2, Nether Sapling
thaumicbases:goldenOakSapling:3, Ender Sapling
thaumicbases:genLeaves:0, Golden Oak Leaves
thaumicbases:genLeaves:1, Peaceful Leaves
thaumicbases:genLeaves:2, Nether Leaves
thaumicbases:genLeaves:3, Ender Leaves
thaumicbases:genLogs:0, Peaceful Wood
thaumicbases:genLogs:1, Nether Wood
thaumicbases:genLogs:2, Ender Wood
thaumicbases:enderPlanks, Ender Wood Planks
thaumicbases:nodeManipulator, Node Manipulator
thaumicbases:nodeLinker, Node Linking Device
thaumicbases:entityDeconstructor, Entity Deconstructor
ThaumicExploration:trashJar, Oblivion Jar
ThaumicExploration:boundChest, Bound Chest
ThaumicExploration:floatCandle:0, White Floating Candle
ThaumicExploration:floatCandle:1, Orange Floating Candle
ThaumicExploration:floatCandle:2, Magenta Floating Candle
ThaumicExploration:floatCandle:3, Light Blue Floating Candle
ThaumicExploration:floatCandle:4, Yellow Floating Candle
ThaumicExploration:floatCandle:5, Lime Floating Candle
ThaumicExploration:floatCandle:6, Pink Floating Candle
ThaumicExploration:floatCandle:7, Gray Floating Candle
ThaumicExploration:floatCandle:8, Light Gray Floating Candle
ThaumicExploration:floatCandle:9, Cyan Floating Candle
ThaumicExploration:floatCandle:10, Purple Floating Candle
ThaumicExploration:floatCandle:11, Blue Floating Candle
ThaumicExploration:floatCandle:12, Brown Floating Candle
ThaumicExploration:floatCandle:13, Green Floating Candle
ThaumicExploration:floatCandle:14, Red Floating Candle
ThaumicExploration:floatCandle:15, Black Floating Candle
ThaumicExploration:meltyIce, Ice
ThaumicExploration:boundJar, Bound Jar
ThaumicExploration:thinkTankJar, Think Tank
ThaumicExploration:everfullUrn, Everfull Urn
ThaumicExploration:everburnUrn, Everburn Urn
ThaumicExploration:soulBrazier, Soul Brazier
ThaumicExploration:crucibleSouls, Crucible of Souls
ThaumicExploration:replicator, Thaumic Replicator
thaumicenergistics:thaumicenergistics.block.essentia.provider, Essentia Provider
thaumicenergistics:thaumicenergistics.block.infusion.provider, Infusion Provider
thaumicenergistics:thaumicenergistics.block.gear.box, Iron Gear Box
thaumicenergistics:thaumicenergistics.block.golem.gear.box, Thaumium Gear Box
thaumicenergistics:thaumicenergistics.block.essentia.cell.workbench, Essentia Cell Workbench
thaumicenergistics:thaumicenergistics.block.arcane.assembler, Arcane Assembler
thaumicenergistics:thaumicenergistics.block.knowledge.inscriber, Knowledge Inscriber
thaumicenergistics:thaumicenergistics.block.essentia.vibration.chamber, Essentia Vibration Chamber
thaumicenergistics:thaumicenergistics.block.distillation.encoder, Distillation Pattern Encoder
ThaumicHorizons:synthNode, Ethereal Shard
ThaumicHorizons:alchemite, Alchemite
ThaumicHorizons:visDynamo, Vis Dynamo
ThaumicHorizons:essentiaDynamo, Essentia Dynamo
ThaumicHorizons:nodeMonitor, Node Monitor
ThaumicHorizons:soulSieve, Soul Sieve
ThaumicHorizons:inspiratron, Inspiratron
ThaumicHorizons:soulforge, Soulforge
ThaumicHorizons:soulJar:0, Jarred  Soul
ThaumicHorizons:bloodInfuser, Seroconverter
ThaumicHorizons:vat, Curative Vat
ThaumicHorizons:vatSolid, Curative Vat
ThaumicHorizons:vatInterior, tile.ThaumicHorizons_vatInterior.name
ThaumicHorizons:soulBeacon, Soul Beacon
ThaumicHorizons:modMatrix, Modified Runic Matrix
ThaumicHorizons:chocolate, Block of Chocolate
ThaumicHorizons:evanescent, tile.ThaumicHorizons_evanescent.name
ThaumicHorizons:light, Light Orb
ThaumicHorizons:lightSolar, Light Orb
ThaumicHorizons:transductionAmplifier, Transduction Amplifier
ThaumicHorizons:recombinator, Teleological Recombinator
ThaumicHorizons:vortexStabilizer, Vortex Attenuator
ThaumicHorizons:vortexTH:0, Planar Vortex
ThaumicHorizons:vortexTH:1, Planar Vortex (Creative)
ThaumicHorizons:voidTH, Planar Boundary
ThaumicHorizons:cloudTH:0, Cloud
ThaumicHorizons:cloudTH:2, Thundercloud
ThaumicHorizons:cloudTH:3, Acid Cloud
ThaumicHorizons:cloudTH:5, Tumorous Cloud
ThaumicHorizons:cloudTH:8, Spore Cloud
ThaumicHorizons:cloudGlowingTH:1, Plasma Cloud
ThaumicHorizons:cloudGlowingTH:4, Alloy Cloud
ThaumicHorizons:cloudGlowingTH:6, Vis Cloud
ThaumicHorizons:cloudGlowingTH:7, Glyph Cloud
ThaumicHorizons:cloudGlowingTH:9, Animus Cloud
ThaumicHorizons:brainTH, Lump of Brain
ThaumicHorizons:dustTH, Dust
ThaumicHorizons:eyeTH, Eye Cluster
ThaumicHorizons:boneTH, Bone
ThaumicHorizons:fleshTH, Lump of Flesh
ThaumicHorizons:spikeTH, Metal Spike
ThaumicHorizons:spikeWoodTH, Wooden Spike
ThaumicHorizons:spikeToothTH, Tooth
ThaumicHorizons:crystalTH:0, White Crystal
ThaumicHorizons:crystalTH:1, Orange Crystal
ThaumicHorizons:crystalTH:2, Magenta Crystal
ThaumicHorizons:crystalTH:3, Light Blue Crystal
ThaumicHorizons:crystalTH:4, Yellow Crystal
ThaumicHorizons:crystalTH:5, Lime Crystal
ThaumicHorizons:crystalTH:6, Pink Crystal
ThaumicHorizons:crystalTH:7, Gray Crystal
ThaumicHorizons:crystalTH:8, Light Gray Crystal
ThaumicHorizons:crystalTH:9, Cyan Crystal
ThaumicHorizons:crystalTH:10, Purple Crystal
ThaumicHorizons:crystalTH:11, Blue Crystal
ThaumicHorizons:crystalTH:12, Brown Crystal
ThaumicHorizons:crystalTH:13, Green Crystal
ThaumicHorizons:crystalTH:14, Red Crystal
ThaumicHorizons:crystalTH:15, Black Crystal
ThaumicHorizons:crystalDeep, Deep Crystal
ThaumicHorizons:leviathanTH, Primordial Fossil
ThaumicHorizons:slotTH, Keystone Receptacle
ThaumicHorizons:portalTH, Unnamed Block, report to mod author.
ThaumicHorizons:gatewayTH, Planar Gateway
tinkersdefense:Block_CrestMount, Crest Mount
tinkersdefense:Block_ArmorAnvil, Armor Anvil
tinkersdefense:Block_JewelersBench, Jeweler's Bench
tinkersdefense:AeonSteelBlock, Aeon Steel Block
tinkersdefense:moltenaeonsteel, Molten Aeon Steel
tinkersdefense:QueensGoldBlock, Queen's Gold Block
tinkersdefense:moltenQueensGold, Molten Queen's Gold
tinkersdefense:DogbeariumBlock, Dogbearium Block
tinkersdefense:moltenDogbearium, Molten Dogbearium
TMechworks:RedstoneMachine:0, Drawbridge
TMechworks:RedstoneMachine:1, Igniter
TMechworks:RedstoneMachine:2, Advanced Drawbridge
TMechworks:RedstoneMachine:3, Extended Drawbridge
TMechworks:Dynamo, Dynamo
TMechworks:SignalBus, tile.tmechworks.signalbus.name
TMechworks:SignalTerminal, tile.tmechworks.signalterminal.name
TMechworks:MeshFilter:0, Empty Mesh Filter
TMechworks:MeshFilter:1, Wide Mesh Filter
TMechworks:MeshFilter:2, Slat Mesh Filter
TMechworks:MeshFilter:3, Mesh Filter
TMechworks:MeshFilter:4, Fine Mesh Filter
TravellersGear:armorstand, Armor Stand
WarpTheory:blockVanish, Unnamed Block, report to mod author.
ForgeRelocation:relocation.blockmovingrow:0, tile.relocation.blockmovingrow|0.name
MCFrames:mcframes.motor:0, Debug Frame Motor
MCFrames:mcframes.frame, Frame
IguanaTweaksTConstruct:skullBlock, tile.iguana.tcon.skull.name
gregapi:gt.display.fluid, gt.display.fluid.name
gregapi:gt.integrated_circuit:0, gt.integrated_circuit.name
gregapi:gt.empty_slot, gt.empty_slot.name
battlegear2:waraxe.wood, Wooden Waraxe
battlegear2:dagger.wood, Wooden Dagger
battlegear2:mace.wood, Wooden Mace
battlegear2:spear.wood, Wooden Spear
battlegear2:shield.wood, Wooden Shield
battlegear2:knights_armour.helmet, Knight's Helmet
battlegear2:waraxe.stone, Stone Waraxe
battlegear2:dagger.stone, Stone Dagger
battlegear2:mace.stone, Stone Mace
battlegear2:spear.stone, Stone Spear
battlegear2:shield.hide, Hide Shield
battlegear2:knights_armour.plate, Knight's Plate
battlegear2:waraxe.iron, Iron Waraxe
battlegear2:dagger.iron, Iron Dagger
battlegear2:mace.iron, Iron Mace
battlegear2:spear.iron, Iron Spear
battlegear2:shield.iron, Iron Shield
battlegear2:knights_armour.legs, Knight's Leggings
battlegear2:waraxe.diamond, Diamond Waraxe
battlegear2:dagger.diamond, Diamond Dagger
battlegear2:mace.diamond, Diamond Mace
battlegear2:spear.diamond, Diamond Spear
battlegear2:shield.diamond, Diamond Shield
battlegear2:knights_armour.boots, Knight's Boots
battlegear2:waraxe.gold, Golden Waraxe
battlegear2:dagger.gold, Golden Dagger
battlegear2:mace.gold, Golden Mace
battlegear2:spear.gold, Golden Spear
battlegear2:shield.gold, Golden Shield
battlegear2:chain, Chain
battlegear2:quiver, Quiver
battlegear2:heraldric:0, Heraldic Icon
battlegear2:mb.arrow:0, Explosive Arrow
battlegear2:mb.arrow:1, Ender Arrow
battlegear2:mb.arrow:2, Flaming Arrow
battlegear2:mb.arrow:3, Piercing Arrow
battlegear2:mb.arrow:4, Poison Arrow
battlegear2:mb.arrow:5, Mystery Arrow
battlegear2:mb.arrow:6, Leech Arrow
adventurebackpack:machete, Machete
adventurebackpack:clockworkCrossbow, Clockwork Crossbow
adventurebackpack:adventureHat, Adventurer's Fedora
adventurebackpack:adventureSuit, Adventurer's Suit
adventurebackpack:adventurePants, Adventurer's Pants
adventurebackpack:pistonBoots, Piston Boots
adventurebackpack:copterPack, Copter Pack
adventurebackpack:coalJetpack, Coal Jetpack
adventurebackpack:adventureBackpack, Adventure Backpack
adventurebackpack:backpackComponent:1, Sleeping Bag
adventurebackpack:backpackComponent:2, Backpack Tank
adventurebackpack:backpackComponent:3, Hose Nozzle
adventurebackpack:backpackComponent:4, Machete Handle
adventurebackpack:backpackComponent:5, Two-Cylinder Diesel Engine
adventurebackpack:backpackComponent:6, Copter Blades
adventurebackpack:backpackComponent:7, Inflatable Boat
adventurebackpack:backpackComponent:8, Inflatable Boat (Motorized)
adventurebackpack:backpackComponent:9, Hydro Blades
adventurebackpack:backpackHose, Backpack Hose
adventurebackpack:melonJuiceBottle, Melon Juice Bottle
appliedenergistics2:item.ToolCertusQuartzAxe, Certus Quartz Axe
appliedenergistics2:item.ToolCertusQuartzHoe, Certus Quartz Hoe
appliedenergistics2:item.ToolCertusQuartzSpade, Certus Quartz Shovel
appliedenergistics2:item.ToolCertusQuartzPickaxe, Certus Quartz Pickaxe
appliedenergistics2:item.ToolCertusQuartzSword, Certus Quartz Sword
appliedenergistics2:item.ToolCertusQuartzWrench, Certus Quartz Wrench
appliedenergistics2:item.ToolCertusQuartzCuttingKnife, Certus Quartz Cutting Knife
appliedenergistics2:item.ToolNetherQuartzAxe, Nether Quartz Axe
appliedenergistics2:item.ToolNetherQuartzHoe, Nether Quartz Hoe
appliedenergistics2:item.ToolNetherQuartzSpade, Nether Quartz Shovel
appliedenergistics2:item.ToolNetherQuartzPickaxe, Nether Quartz Pickaxe
appliedenergistics2:item.ToolNetherQuartzSword, Nether Quartz Sword
appliedenergistics2:item.ToolNetherQuartzWrench, Nether Quartz Wrench
appliedenergistics2:item.ToolNetherQuartzCuttingKnife, Nether Quartz Cutting Knife
appliedenergistics2:item.ToolEntropyManipulator, Entropy Manipulator
appliedenergistics2:item.ToolWirelessTerminal, Wireless Terminal
appliedenergistics2:item.ToolBiometricCard, Biometric Card
appliedenergistics2:item.ToolChargedStaff, Charged Staff
appliedenergistics2:item.ToolMassCannon, Matter Cannon
appliedenergistics2:item.ToolMemoryCard, Memory Card
appliedenergistics2:item.ToolNetworkTool, Network Tool
appliedenergistics2:item.ToolPortableCell, Portable Cell
appliedenergistics2:item.ItemCreativeStorageCell, Creative ME Storage Cell
appliedenergistics2:item.ItemViewCell, View Cell
appliedenergistics2:item.ItemBasicStorageCell.1k, 1k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.4k, 4k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.16k, 16k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.64k, 64k ME Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.2Cubed, 2³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.16Cubed, 16³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.128Cubed, 128³ Spatial Storage Cell
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dirt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Podzol
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobblestone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Acacia Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dark Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bedrock
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gravel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gold Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Iron Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Coal Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sponge
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lapis Lazuli Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lapis Lazuli Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Smooth Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Gold
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Iron
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - TNT
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bookshelf
appliedenergistics2:item.ItemFacade:0, Cable Facade - Moss Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Obsidian
appliedenergistics2:item.ItemFacade:0, Cable Facade - Diamond Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Diamond
appliedenergistics2:item.ItemFacade:0, Cable Facade - Crafting Table
appliedenergistics2:item.ItemFacade:0, Cable Facade - Redstone Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Netherrack
appliedenergistics2:item.ItemFacade:0, Cable Facade - Soul Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glowstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - White Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobblestone Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cracked Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cracked Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mushroom
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mushroom
appliedenergistics2:item.ItemFacade:0, Cable Facade - Melon
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - End Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Redstone Lamp
appliedenergistics2:item.ItemFacade:0, Cable Facade - Emerald Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Emerald
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Redstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Quartz Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Quartz
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pillar Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - White Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Acacia Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dark Oak Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Hay Bale
appliedenergistics2:item.ItemFacade:0, Cable Facade - Hardened Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Coal
appliedenergistics2:item.ItemFacade:0, Cable Facade - Packed Ice
appliedenergistics2:item.ItemFacade:0, Cable Facade - Certus Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Certus Quartz Pillar
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Certus Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Fluix Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Small Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Block Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Brick Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Small Brick Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Fluix Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Certus Quartz Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Certus Quartz Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Certus Quartz Pillar Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Monitor
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blood Rune
appliedenergistics2:item.ItemFacade:0, Cable Facade - Rune of Augmented Capacity
appliedenergistics2:item.ItemFacade:0, Cable Facade - Rune of Dislocation
appliedenergistics2:item.ItemFacade:0, Cable Facade - Rune of the Orb
appliedenergistics2:item.ItemFacade:0, Cable Facade - Rune of Superior Capacity
appliedenergistics2:item.ItemFacade:0, Cable Facade - Rune of Acceleration
appliedenergistics2:item.ItemFacade:0, Cable Facade - Speed Rune
appliedenergistics2:item.ItemFacade:0, Cable Facade - Efficiency Rune
appliedenergistics2:item.ItemFacade:0, Cable Facade - Rune of Sacrifice
appliedenergistics2:item.ItemFacade:0, Cable Facade - Rune of Self-Sacrifice
appliedenergistics2:item.ItemFacade:0, Cable Facade - Ritual Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Imperfect Ritual Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Soul Armour Forge
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bloodstone Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Large Bloodstone Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Crystal Cluster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Crystal Cluster Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glyph of the Adept Enchanter
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glyph of Arcane Potential
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glyph of Rigid Stability
appliedenergistics2:item.ItemFacade:0, Cable Facade - Greatwood Log
appliedenergistics2:item.ItemFacade:0, Cable Facade - Silverwood Log
appliedenergistics2:item.ItemFacade:0, Cable Facade - Livingrock
appliedenergistics2:item.ItemFacade:0, Cable Facade - Livingrock Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Livingrock Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cracked Livingrock Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Livingrock Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Livingwood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Livingwood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Livingwood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Framed Livingwood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pattern Framed Livingwood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glimmering Livingwood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Alchemy Catalyst
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Manasteel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Terrasteel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Elementium
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Mana Diamond
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Dragonstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dreamwood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dreamwood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Dreamwood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Framed Dreamwood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pattern Framed Dreamwood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glimmering Dreamwood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Conjuration Catalyst
appliedenergistics2:item.ItemFacade:0, Cable Facade - Prismarine
